A10	auto-estrada 10
A11	auto-estrada 11
A13	auto-estrada 13
A14	Auto-Estrada nº 14
A15	auto-estrada 15
A15	Auto-estrada 15
A1	ao quilómetro 31,7
A1	auto-estrada 1
A1	Auto-estrada 1
A1	Autoestrada 1
A1	Auto-Estrada 1
A23	Auto-estrada 23
A24	auto-estrada 24
A24	Auto-Estrada 24
A25	Associação 25 de Abril
A25	auto-estrada 25
A25	Autoestrada 25
A29	Auto-estrada 29
A2	auto-estrada 2
A2	Auto-estrada 2
A2	auto-estrada nº 2
A3	auto-estrada 3
A3	Auto-estrada 3
A3	auto-estrada número 3
A4	auto-estrada 4
A4	Auto-estrada 4
A5	auto-estrada 5
A5	Auto-estrada 5
A5	Auto-Estrada 5
A5	auto-estrada nº 5
A6	auto-estrada 6
A6	Auto-estrada 6
A7	Auto-estrada 7
A7	auto-estrada número 7
A8	auto-estrada 8
A8	Auto-estrada 8
A8	Autoestrada 8
A8	Auto-Estrada 8
A8	auto-estrada número 8
A-	A-2
AAA	Aaa
AAAA	a classificação máxima
AAA	Académica de Aveiro
AAA	acessibilidade alta
Aaa	actualmente lhe está atribuído
AAA	alta classificação possível de risco
AAA	a mesma notação
AAA	a notação máxima
Aaa	atribuído por esta agência
AAA	Autocaravanas
AA-	abaixo do português
AAACFOP	Associação dos Antigos Alunos dos Cursos de Formação de Oficiais de Polícia
AAAES	Avaliação e Acreditação do Ensino Superior
AA	Alcoólicos Anónimos
AA	American Airlines
AA	Association
AABA	Associação de Agricultores do Baixo Alentejo
AABA	Associação dos Agricultores do Baixo Alentejo
AAC	Académica
AAC	Académica de Coimbra
AAC	as quais as de Coimbra
AACB	Associação de Amigos de Castelo de Bode
AACB	Associação dos Amigos de Castelo de Bode
AACN	Auditores dos Cursos de Defesa Nacional
AACP	Associação dos Amigos do Coliseu do Porto
AACS	Alta-Autoridade para a Comunicação Social
AACS	Autoridade da Comunicação Social
AACS	-Autoridade para a Comunicação Social
AACS	Autoridade para a Comunicação Social
AACSB	Advance Collegiate Schools of Business
AADE	Associação de Agricultores do Distrito de Évora
AADHVir	Apoio aos Doentes com Hepatites Virais
AADP	Associação de Agricultores do Distrito de Portalegre
AADP	Associação dos Agricultores do Distrito de Portalegre
AAE	Aeronáutica de Évora
AAE	Ambiental Estratégica
AAE	Ambiental Europeia
AAEP	Associação dos Estabelecimentos de Ensino Particular e Cooperativo
AAFDL	Académica da Faculdade de Direito de Lisboa
AAFP	Associação dos Agentes Funerários de Portugal
AAG	Académica da Guarda
AAG	Apuramento Geral
AAGR	Apuramento Geral dos Resultados
AAIT	Agrícola da Ilha Terceira
AAL	Académica de Lisboa
AAL	Ardinas de Lisboa
A&amp;L	Alliance &amp; Leicester
AAO	Associação de Agricultores do Oeste
AAPABA	Armadores de Pesca Artesanal do Barlavento Algarvio
AAP	Associação Água Pública
AAP	Associação de Arqueólogos Portugueses
AAP	Associação dos Armeiros de Portugal
AAP	Associated Press
AAP	Ateísta Portuguesa
AAPEUA	Amizade Portugal-Estados Unidos da América
AAPI	Armadores de Pescas Industriais
AAPM	Angolana de Publicidade e Marketing
AAPN	Armadores de Pesca do Norte
AAP	Norte-Americana de Pediatria
AAQ	Associação Amigos dos Queimados
AAS	Associação de Agricultores de Serpa
AASE	Artesãos da Serra da estrela
AASM	Agrícola de São Miguel
AAT	Amigos da Telescola
AAT	Associação dos Amigos do Tejo
AAUA	Académica da Universidade de Aveiro
AAU	agrícola utilizada
AAUAL	Académica da Universidade do Algarve
AAUALG	Académica da Universidade do Algarve
AAUAv	Académica da Universidade de Aveiro
AAUAV	Académica da Universidade de Aveiro
AAUBI	Académica da UBI
AAUBI	Académica da Universidade da Beira Interior
AAUL	Académica da Universidade de Lisboa
AAUM	Académica da Universidade do Minho
AAUnI	Académica da Universidade Independente
AAUTAD	Académica da Universidade de Trás-os-Montes e Alto Douro
AAUTAD	Académica da UTAD
AAV	Académica de Aveiro
AAV	Académica de Viseu
AAVAC	Ajuda às Vítimas dos Acidentes Corporais
ABA	Applied Behaviour Analysis
ABAE	Associação Bandeira Azul
ABAE	Associação Bandeira Azul da Europa
